date,employees
9/4/2018,29020
9/5/2018,30242
9/6/2018,30081
9/7/2018,26535
9/8/2018,0
9/9/2018,0
9/10/2018,28448
9/11/2018,29730
9/12/2018,30060
9/13/2018,29594
9/14/2018,26405
9/15/2018,0
9/16/2018,0
9/17/2018,29272
9/18/2018,30142
9/19/2018,30286
9/20/2018,29376
9/21/2018,26723
9/22/2018,0
9/23/2018,0
9/24/2018,28811
9/25/2018,30746
9/26/2018,31369
9/27/2018,30995
9/28/2018,27832
9/29/2018,0
9/30/2018,0
10/1/2018,30152
10/2/2018,30893
10/3/2018,31155
10/4/2018,30506
10/5/2018,24499
10/6/2018,0
10/7/2018,0
10/8/2018,25855
10/9/2018,30186
10/10/2018,30621
10/11/2018,29818
10/12/2018,26188
10/13/2018,0
10/14/2018,0
10/15/2018,29004
10/16/2018,31616
10/17/2018,31030
10/18/2018,29816
10/19/2018,26579
10/20/2018,0
10/21/2018,0
10/22/2018,29965
10/23/2018,30032
10/24/2018,30734
10/25/2018,30119
10/26/2018,26417
10/27/2018,0
10/28/2018,0
10/29/2018,30016
10/30/2018,30561
10/31/2018,29751
11/1/2018,28823
11/2/2018,27759
11/3/2018,0
11/4/2018,0
11/5/2018,28630
11/6/2018,29333
11/7/2018,31578
11/8/2018,30164
11/9/2018,27236
11/10/2018,0
11/11/2018,0
11/12/2018,26079
11/13/2018,31064
11/14/2018,31912
11/15/2018,30398
11/16/2018,27764
11/17/2018,0
11/18/2018,0
11/19/2018,29542
11/20/2018,27427
11/21/2018,20000
11/22/2018,8055
11/23/2018,13307
11/24/2018,0
11/25/2018,0
11/26/2018,29217
11/27/2018,28731
11/28/2018,30560
11/29/2018,30032
11/30/2018,27195
12/1/2018,0
12/2/2018,0
12/3/2018,28867
12/4/2018,29565
12/5/2018,27115
12/6/2018,29990
12/7/2018,26502
12/8/2018,0
12/9/2018,0
12/10/2018,26970
12/11/2018,28462
12/12/2018,28366
12/13/2018,28562
12/14/2018,25478
12/15/2018,0
12/16/2018,0
12/17/2018,22116
12/18/2018,22429
12/19/2018,22676
12/20/2018,20177
12/21/2018,17007
12/22/2018,0
12/23/2018,0
12/24/2018,9873
12/25/2018,6322
12/26/2018,12586
12/27/2018,14388
12/28/2018,12553
12/29/2018,0
12/30/2018,0
12/31/2018,11454
1/1/2019,6410
1/2/2019,18477
1/3/2019,20518
1/4/2019,18973
1/5/2019,0
1/6/2019,0
1/7/2019,22297
1/8/2019,22269
1/9/2019,21876
1/10/2019,22148
1/11/2019,19613
1/12/2019,0
1/13/2019,0
1/14/2019,21182
1/15/2019,22224
1/16/2019,22551
1/17/2019,22412
1/18/2019,19716
1/19/2019,0
1/20/2019,0
1/21/2019,11833
1/22/2019,22025
1/23/2019,22577
1/24/2019,20959
1/25/2019,21141
1/26/2019,0
1/27/2019,0
1/28/2019,23249
1/29/2019,23159
1/30/2019,17060
1/31/2019,21826
2/1/2019,20192
2/2/2019,0
2/3/2019,0
2/4/2019,21875
2/5/2019,23243
2/6/2019,23150
2/7/2019,22558
2/8/2019,21205
2/9/2019,0
2/10/2019,0
2/11/2019,22452
2/12/2019,22553
2/13/2019,23256
2/14/2019,23912
2/15/2019,20736
2/16/2019,0
2/17/2019,0
2/18/2019,14191
2/19/2019,24565
2/20/2019,23127
2/21/2019,24509
2/22/2019,22325
2/23/2019,0
2/24/2019,0
2/25/2019,24100
2/26/2019,23390
2/27/2019,24087
2/28/2019,23413
3/1/2019,22324
3/2/2019,0
3/3/2019,0
3/4/2019,25192
3/5/2019,24509
3/6/2019,25017
3/7/2019,25506
3/8/2019,21192
3/9/2019,0
3/10/2019,0
3/11/2019,24579
3/12/2019,24562
3/13/2019,24554
3/14/2019,23836
3/15/2019,22022
3/16/2019,0
3/17/2019,0
3/18/2019,22986
3/19/2019,24926
3/20/2019,25339
3/21/2019,24830
3/22/2019,22488
3/23/2019,0
3/24/2019,0
3/25/2019,24388
3/26/2019,25436
3/27/2019,25266
3/28/2019,24045
3/29/2019,23550
3/30/2019,0
3/31/2019,0
4/1/2019,23397
4/2/2019,24310
4/3/2019,23789
4/4/2019,23611
4/5/2019,22071
4/6/2019,0
4/7/2019,0
4/8/2019,24431
4/9/2019,25324
4/10/2019,24992
4/11/2019,24965
4/12/2019,22710
4/13/2019,0
4/14/2019,0
4/15/2019,23703
4/16/2019,24012
4/17/2019,23903
4/18/2019,21151
4/19/2019,16748
4/20/2019,0
4/21/2019,0
4/22/2019,24133
4/23/2019,25458
4/24/2019,25355
4/25/2019,24762
4/26/2019,23080
4/27/2019,0
4/28/2019,0
4/29/2019,26488
4/30/2019,27042
5/1/2019,27290
5/2/2019,26433
5/3/2019,24522
5/4/2019,0
5/5/2019,0
5/6/2019,25892
5/7/2019,27375
5/8/2019,26868
5/9/2019,26862
5/10/2019,24638
5/11/2019,0
5/12/2019,0
5/13/2019,26664
5/14/2019,26060
5/15/2019,27281
5/16/2019,25665
5/17/2019,24589
5/18/2019,0
5/19/2019,0
5/20/2019,24581
5/21/2019,23760
5/22/2019,25525
5/23/2019,24565
5/24/2019,21192
5/25/2019,0
5/26/2019,0
5/27/2019,9831
5/28/2019,22347
5/29/2019,23337
5/30/2019,21843
5/31/2019,19862
6/1/2019,0
6/2/2019,0
6/3/2019,21636
6/4/2019,22376
6/5/2019,22198
6/6/2019,21736
6/7/2019,19355
6/8/2019,0
6/9/2019,0
6/10/2019,22022
6/11/2019,22303
6/12/2019,23301
6/13/2019,25706
6/14/2019,20139
6/15/2019,0
6/16/2019,0
6/17/2019,21072
6/18/2019,21523
6/19/2019,20907
6/20/2019,20007
6/21/2019,18690
6/22/2019,0
6/23/2019,0
6/24/2019,19570
6/25/2019,20350
6/26/2019,20039
6/27/2019,20312
6/28/2019,17721
6/29/2019,0
6/30/2019,0
7/1/2019,19220
7/2/2019,19856
7/3/2019,18407
7/4/2019,9169
7/5/2019,13509
7/6/2019,0
7/7/2019,0
7/8/2019,18505
7/9/2019,19705
7/10/2019,19299
7/11/2019,19533
7/12/2019,17634
7/13/2019,0
7/14/2019,0
7/15/2019,20305
7/16/2019,21146
7/17/2019,20440
7/18/2019,20256
7/19/2019,17348
7/20/2019,0
7/21/2019,0
7/22/2019,19341
7/23/2019,20510
7/24/2019,20460
7/25/2019,19584
7/26/2019,18016
7/27/2019,0
7/28/2019,0
7/29/2019,19656
7/30/2019,21107
7/31/2019,20841
8/1/2019,19452
8/2/2019,17920
8/3/2019,0
8/4/2019,0
8/5/2019,20958
8/6/2019,20960
8/7/2019,21355
8/8/2019,20626
8/9/2019,18622
8/10/2019,0
8/11/2019,0
8/12/2019,19776
8/13/2019,22393
8/14/2019,22014
8/15/2019,21506
8/16/2019,20186
8/17/2019,0
8/18/2019,0
8/19/2019,23674
8/20/2019,24376
8/21/2019,24733
8/22/2019,24399
8/23/2019,21599
8/24/2019,0
8/25/2019,0
8/26/2019,25483
8/27/2019,25797
8/28/2019,25822
8/29/2019,24052
8/30/2019,22031
8/31/2019,0
9/1/2019,0
9/2/2019,10926
9/3/2019,25996
9/4/2019,26794
9/5/2019,26359
9/6/2019,24202
9/7/2019,0
9/8/2019,0
9/9/2019,26516
9/10/2019,27759
9/11/2019,27836
9/12/2019,26807
9/13/2019,24648
9/14/2019,0
9/15/2019,0
9/16/2019,25888
9/17/2019,27887
9/18/2019,26871
9/19/2019,26960
9/20/2019,24070
9/21/2019,0
9/22/2019,0
9/23/2019,26380
9/24/2019,27154
9/25/2019,26540
9/26/2019,25736
9/27/2019,23711
9/28/2019,0
9/29/2019,0
9/30/2019,25614
10/1/2019,26404
10/2/2019,27153
10/3/2019,26898
10/4/2019,24308
10/5/2019,0
10/6/2019,0
10/7/2019,26152
10/8/2019,26232
10/9/2019,27018
10/10/2019,26208
10/11/2019,21187
10/12/2019,0
10/13/2019,0
10/14/2019,20436
10/15/2019,26310
10/16/2019,27055
10/17/2019,25909
10/18/2019,23779
10/19/2019,0
10/20/2019,0
10/21/2019,25762
10/22/2019,26480
10/23/2019,27076
10/24/2019,25952
10/25/2019,23470
10/26/2019,0
10/27/2019,0
10/28/2019,26428
10/29/2019,27144
10/30/2019,27439
10/31/2019,26217
11/1/2019,23189
11/2/2019,0
11/3/2019,0
11/4/2019,26387
11/5/2019,25586
11/6/2019,27615
11/7/2019,26907
11/8/2019,24652
11/9/2019,0
11/10/2019,0
11/11/2019,22663
11/12/2019,25614
11/13/2019,26772
11/14/2019,26843
11/15/2019,23824
11/16/2019,0
11/17/2019,0
11/18/2019,25953
11/19/2019,27260
11/20/2019,27636
11/21/2019,27476
11/22/2019,24093
11/23/2019,0
11/24/2019,0
11/25/2019,25491
11/26/2019,24611
11/27/2019,19563
11/28/2019,8410
11/29/2019,12745
11/30/2019,0
12/1/2019,0
12/2/2019,25032
12/3/2019,25787
12/4/2019,25451
12/5/2019,25701
12/6/2019,22926
12/7/2019,0
12/8/2019,0
12/9/2019,22997
12/10/2019,25828
12/11/2019,26476
12/12/2019,26308
12/13/2019,23490
12/14/2019,0
12/15/2019,0
12/16/2019,23886
12/17/2019,25026
12/18/2019,25858
12/19/2019,25064
12/20/2019,23953
12/21/2019,0
12/22/2019,0
12/23/2019,17188
12/24/2019,12522
12/25/2019,8785
12/26/2019,14873
12/27/2019,15721
12/28/2019,0
12/29/2019,0
12/30/2019,17450
12/31/2019,16215
1/1/2020,8977
1/2/2020,20759
